SampleTime	X	Y	SacFlagEyeLink	SacFlagNystrom
2795203	408.10	365.50	0	0
2795204	408.70	365.50	0	0
2795205	409.50	365.50	0	0
2795206	410.30	365.60	0	0
2795207	410.30	365.70	0	0
2795208	410.30	365.70	0	0
2795209	409.50	365.70	0	0
2795210	409.00	365.50	0	0
2795211	408.50	365.30	0	0
2795212	408.70	365.30	0	0
2795213	408.80	365.40	0	0
2795214	408.40	365.40	0	0
2795215	408.10	365.20	0	0
2795216	408.10	365.20	0	0
2795217	408.20	365.20	0	0
2795218	408.40	365.00	0	0
2795219	408.30	364.80	0	0
2795220	408.20	364.80	0	0
2795221	408.00	365.50	0	0
2795222	407.90	366.20	0	0
2795223	407.90	366.80	0	0
2795224	408.10	367.10	0	0
2795225	408.40	366.40	0	0
2795226	408.80	365.50	0	0
2795227	409.10	365.10	0	0
2795228	409.90	365.60	0	0
2795229	410.70	366.40	0	0
2795230	411.20	366.70	0	0
2795231	411.00	367.00	0	0
2795232	410.70	366.60	0	0
2795233	410.70	365.80	0	0
2795234	410.60	365.20	0	0
2795235	410.10	365.00	0	0
2795236	409.10	365.50	0	0
2795237	408.10	365.90	0	0
2795238	407.60	366.20	0	0
2795239	407.60	366.10	0	0
2795240	407.60	365.80	0	0
2795241	407.70	365.60	0	0
2795242	407.80	365.30	0	0
2795243	407.80	365.00	0	0
2795244	407.90	364.70	0	0
2795245	408.00	365.10	0	0
2795246	408.30	365.60	0	0
2795247	408.40	366.00	0	0
2795248	408.40	365.90	0	0
2795249	408.30	365.90	0	0
2795250	408.30	366.00	0	0
2795251	408.10	366.00	0	0
2795252	407.90	366.00	0	0
2795253	408.40	365.80	0	0
2795254	409.00	365.60	0	0
2795255	409.50	365.30	0	0
2795256	409.50	365.20	0	0
2795257	409.50	365.40	0	0
2795258	409.50	365.60	0	0
2795259	409.30	365.70	0	0
2795260	408.90	365.70	0	0
2795261	408.50	365.80	0	0
2795262	408.40	365.80	0	0
2795263	408.50	365.80	0	0
2795264	408.90	365.70	0	0
2795265	409.20	365.60	0	0
2795266	409.00	365.60	0	0
2795267	408.60	365.80	0	0
2795268	408.20	365.90	0	0
2795269	407.90	366.00	0	0
2795270	407.60	365.90	0	0
2795271	407.40	365.90	0	0
2795272	407.40	365.80	0	0
2795273	407.50	365.70	0	0
